Make_Model,Price,Mileage,Fuel,Age,Previous_Owners,Horsepower,Gearing_Type,Displacement,Drive_Chain
Audi A1,15770.0,56012.8,Benzine,3.0,1.0,66.0,Automatic,1422.0,front
Audi A1,14640.0,83449.8,Diesel,3.0,1.0,85.0,Automatic,1461.0,front
Audi A1,16422.0,62110.8,Diesel,3.0,1.0,85.0,Automatic,1598.0,front
Audi A1,17990.0,26414.9,Benzine,3.0,1.0,85.0,Automatic,1461.0,front
Audi A1,18900.0,9752.0,Diesel,1.0,1.0,85.0,Automatic,1598.0,front
Audi A1,19721.0,13406.0,Diesel,1.0,1.0,85.0,Automatic,1598.0,front
Audi A1,18925.5,51159.9,Benzine,2.0,1.0,85.0,Automatic,1598.0,front
Audi A1,19721.0,15850.0,Benzine,3.0,1.0,92.0,Automatic,1395.0,front
Audi A1,20147.4,17000.0,Benzine,3.0,1.0,92.0,Automatic,1461.0,front
Audi A1,11549.7,38399.9,Diesel,3.0,1.0,66.0,Manual,1461.0,front
Audi A1,11440.0,83306.8,Diesel,3.0,1.0,66.0,Manual,1461.0,front
Audi A1,11800.0,94799.7,Diesel,3.0,1.0,66.0,Manual,1422.0,front
Audi A1,12122.6,84999.8,Diesel,3.0,1.0,66.0,Manual,1422.0,front
Audi A1,11490.0,97975.7,Benzine,3.0,1.0,70.0,Manual,999.0,front
Audi A1,11790.0,59999.8,Diesel,2.0,1.0,85.0,Manual,1461.0,front
Audi A1,11744.0,94054.7,Benzine,3.0,1.0,66.0,Manual,1422.0,front
Audi A1,11180.0,55999.8,Benzine,3.0,1.0,70.0,Manual,999.0,front
Audi A1,11450.0,27599.9,Benzine,3.0,1.0,70.0,Manual,999.0,front
Unknown,11100.0,111669.7,Diesel,3.0,1.0,85.0,Manual,1598.0,front
Audi A1,11619.4,30499.9,Diesel,3.0,1.0,66.0,Manual,1422.0,front
Audi A1,11724.9,69499.8,Benzine,2.0,1.0,70.0,Manual,1461.0,front
Audi A1,10800.0,33999.9,Benzine,3.0,2.0,66.0,Manual,1422.0,front
Audi A1,10536.9,84999.8,Benzine,3.0,1.0,70.0,Manual,999.0,front
Audi A1,10490.0,129999.6,Benzine,3.0,1.0,66.0,Manual,1461.0,front
Audi A1,18900.0,4250.0,Benzine,2.0,1.0,70.0,Manual,1461.0,front
Audi A1,18490.0,16700.0,Benzine,2.0,1.0,92.0,Automatic,1395.0,front
Unknown,18915.3,41899.9,Benzine,3.0,1.0,92.0,Automatic,1395.0,front
Audi A1,20147.4,12415.0,Diesel,2.0,1.0,85.0,Automatic,1598.0,front
Audi A1,18900.0,26063.9,Diesel,1.0,2.0,85.0,Automatic,1598.0,front
Audi A1,18900.0,9082.0,Diesel,1.0,1.0,85.0,Automatic,1598.0,front
Audi A1,19334.7,9580.0,Benzine,1.0,1.0,85.0,Automatic,1598.0,front
Audi A1,18900.0,14878.0,Diesel,1.0,1.0,85.0,Automatic,1598.0,front
Audi A1,19334.7,9466.0,Diesel,1.0,1.0,85.0,Manual,1598.0,front
Audi A1,19334.7,18970.9,Diesel,1.0,1.0,85.0,Automatic,1598.0,front
Audi A1,18500.0,64999.8,Benzine,2.0,1.0,66.0,Automatic,1422.0,front
Unknown,18925.5,14493.0,Diesel,1.0,1.0,85.0,Manual,1598.0,front
Audi A1,18300.0,35499.9,Diesel,1.0,1.0,66.0,Automatic,1422.0,front
Unknown,19507.8,18000.0,Benzine,2.0,1.0,92.0,Automatic,1395.0,front
Unknown,19497.1,39999.9,Benzine,2.0,1.0,92.0,Automatic,1461.0,front
