iter	RMSE
0	10616.36885
1	10489.42382
2	10401.98353
3	10296.30699
4	10161.80973
5	10078.84747
6	10011.85596
7	9872.605395
8	9761.845615
9	9705.372422
10	9645.22272
11	9525.047702
12	9475.280294
13	9393.439463
14	9349.397798
15	9290.78087
16	9253.600207
17	9220.765276
18	9183.323734
19	9115.997467
20	9022.982092
21	8991.112309
22	8966.251849
23	8869.730031
24	8778.401676
25	8726.271754
26	8703.526547
27	8683.708252
28	8661.574891
29	8639.189767
30	8621.405013
31	8533.805362
32	8518.162112
33	8448.638591
34	8433.54415
35	8428.537245
36	8418.540408
37	8379.648684
38	8357.634186
39	8336.302317
40	8259.505514
41	8244.314941
42	8214.379479
43	8207.332986
44	8191.099591
45	8187.658139
46	8155.95836
47	8145.495053
48	8128.334297
49	8103.501319
50	8095.68172
51	8087.437101
52	8024.919232
53	8020.123686
54	7952.702883
55	7947.155609
56	7930.429833
57	7905.924665
58	7902.484319
59	7899.722028
60	7898.595657
61	7851.90992
62	7844.690624
63	7843.603728
64	7810.399803
65	7805.349117
66	7804.260693
67	7801.011791
68	7788.11098
69	7787.100294
70	7724.523571
71	7705.419376
72	7701.569851
73	7700.559995
74	7699.637051
75	7696.294685
76	7695.114815
77	7691.185901
78	7669.30574
79	7668.46888
80	7620.128042
81	7619.346363
82	7610.997405
83	7609.226812
84	7606.8516
85	7606.177556
86	7605.670337
87	7548.086362
88	7547.011389
89	7546.194274
90	7542.599414
91	7541.548176
92	7517.822797
93	7516.663839
94	7488.03433
95	7470.976302
96	7469.360783
97	7468.768333
98	7468.068149
99	7466.508748
100	7466.506198
101	7445.561052
102	7445.211838
103	7444.701152
104	7443.09695
105	7441.602824
106	7431.901765
107	7408.13488
108	7407.00937
109	7378.329448
110	7377.89558
111	7334.334163
112	7333.498918
113	7332.174873
114	7331.541449
115	7310.681727
116	7309.041982
117	7307.331364
118	7306.9195
119	7306.696119
120	7298.238777
121	7295.717478
122	7294.81572
123	7291.905082
124	7248.950387
125	7246.285498
126	7245.940139
127	7244.176918
