iter	Passed	Remaining
0	52	52325
1	95	47605
2	142	47462
3	185	46220
4	225	44931
5	269	44591
6	309	43970
7	350	43516
8	390	43047
9	434	43033
10	495	44535
11	535	44086
12	575	43710
13	614	43313
14	655	43031
15	697	42918
16	733	42423
17	774	42226
18	814	42058
19	854	41892
20	894	41708
21	933	41511
22	975	41432
23	1016	41334
24	1058	41280
25	1100	41217
26	1140	41107
27	1181	41027
28	1223	40968
29	1264	40896
30	1306	40848
31	1348	40795
32	1389	40707
33	1430	40649
34	1473	40620
35	1494	40028
36	1536	39987
37	1577	39945
38	1619	39915
39	1661	39882
40	1704	39857
41	1746	39829
42	1788	39798
43	1817	39493
44	1859	39461
45	1880	39000
46	1920	38939
47	1961	38893
48	2002	38874
49	2044	38849
50	2079	38702
51	2124	38723
52	2168	38743
53	2209	38699
54	2249	38651
55	2291	38620
56	2332	38586
57	2372	38529
58	2406	38381
59	2461	38567
60	2481	38201
61	2522	38155
62	2572	38260
63	2592	37917
64	2632	37864
65	2674	37844
66	2687	37430
67	2727	37381
68	2768	37360
69	2808	37315
70	2848	37267
71	2888	37232
72	2929	37194
73	2962	37067
74	2982	36782
75	3022	36750
76	3063	36721
77	3102	36678
78	3142	36638
79	3163	36375
80	3202	36333
81	3235	36220
82	3276	36196
83	3315	36159
84	3355	36124
85	3369	35815
86	3383	35505
87	3422	35469
88	3462	35444
89	3492	35310
90	3533	35298
91	3573	35270
92	3614	35250
93	3654	35218
94	3694	35191
95	3735	35171
96	3775	35150
97	3802	34998
98	3844	34985
99	3889	35006
100	3898	34696
101	3938	34673
102	3958	34471
103	3971	34218
104	4011	34189
105	4051	34166
106	4090	34139
107	4152	34296
108	4192	34274
109	4225	34191
110	4239	33954
111	4279	33927
112	4305	33797
113	4345	33771
114	4384	33744
115	4425	33725
116	4475	33779
117	4532	33875
118	4561	33767
119	4583	33611
120	4626	33607
121	4669	33606
122	4713	33605
123	4757	33610
124	4799	33598
125	4840	33577
126	4854	33371
127	4896	33354
